alm1907659,Amtmann
yb1912571,Anderlik
yb19121919,Aselnenbreuer
yb19092415,Audics
yb19092512,Babanecz
yb19121614,Bak
yb19121285,Baksis
yb19123336,Barbura
alm1904186,Barschrott
yb1909777,Bartl
yb1912495,Baumgartner
yb19091179,Beck
yb19092247,Belgram
yb19121834,Benesovszky
yb19091103,Bergler
alm1904846,Besenbeck
yb1912150,Bezzek
yb19091206,Birtalan
yb19092319,Blattmann
yb19121986,Blitz
yb19092288,Bojnitzer
yb1909648,Bosnyakovics
yb19121298,Bozsó
yb19092152,Bredák
yb19121278,Brenner
yb19091728,Bruckner
alm1907712,Bubonyák
yb19123238,Buchwald
yb19091511,Buna
yb19121569,Bunzlau
yb19092078,Burucs
yb19092250,Bánfus
yb1912481,Bászsz
yb19123002,Bühler
yb19091547,Caragutz
yb19122511,Chrobák
yb19091923,Csernyánszky
yb19092611,Csiba
yb19123233,Csicsay
yb19123274,Csicsó
yb19121837,Csora
yb19091697,Curticapean
yb19121787,Czeikovits
yb1909976,Czeripp
yb19091319,Czibulya
yb19123300,Czifrik
yb19121574,Czihjó
yb19092568,Czopf
yb1912958,Czukermann
yb19091306,Demetrovics
yb1909955,Diamant
yb19092113,Dienszt
yb19123200,Dius
alm1907857,Dleszk
yb1912483,Dolfi
yb19092301,Drázsnyák
yb19092096,Dvornák
yb1912480,Dvorzsák
yb1912166,Dyatel
yb1912925,Dzurányi
yb1912314,Ebner
yb19121621,Eckstein
yb1912660,Ehmann
yb19091795,Ehrenteil
alm190749,Engelmann
yb19092488,Englert
yb19092190,Farbenblum
yb19097,Faszler
yb19092559,Feichtmann
alm19071134,Feuer
yb1912811,Feuerstein
yb19122921,Figula
yb19092030,Filinescu
yb19122713,Fink
yb19123114,Finkmann
yb1909313,Fischbein
alm190778,Fleisch
alm1907258,Fleischmann
yb19121995,Flesch
yb19122443,Flori
yb19122868,Francz
yb1912472,Frasz
alm1907843,Fried
alm19071046,Fromhold
yb1909180,Füchsl
alm1904446,Führinger
yb19123118,Gajdos
alm19071160,Gansl
yb1912538,Gasparik
yb19092619,Gasparík
yb19121339,Gavalja
yb19121539,Gecsó
yb19091244,Gelb
yb19092493,Ginzer
yb1909919,Gluszkievitz
yb19091378,Glöckner
yb19121279,Goldburg
yb19121527,Goldfeld
yb19091465,Goldmann
yb19121971,Goldstein
yb1909491,Gradwahl
yb19092435,Grauer
yb1909983,Grebner
yb1909965,Gross
yb1912698,Grossmann
yb1909966,Grossz
yb19121323,Grün
yb19091228,Grüner
yb19091217,Grünfeld
yb19091197,Grünhut
yb1909377,Grünn
yb1909880,Grünvald
yb19092377,Gubcsó Bugán
yb1912334,Gubicza
yb1912809,Gutman
yb19091880,Guttmann
yb19121985,Gutyina
yb19092165,Gyüre
yb19121926,Gödölle
yb19092310,Habakusz
yb19092430,Habinstroh
yb19091962,Hackstock
alm19041056,Hajduska
alm19041088,Hamburger
yb19092220,Hamni
alm1904278,Handtel
yb19092045,Hanigovszky
alm1904283,Hartenstein
yb19092075,Haskó
alm1907877,Hausbrunner
yb19091929,Hauser
alm1904458,Hecht
alm1907586,Hechtl
yb19092332,Heider
yb19092550,Heine
yb19122226,Held
alm1904162,Hengel
yb19121609,Herczfeld
yb19091990,Herunter
yb19121733,Herz
yb1909205,Herzfeld
yb19091049,Hilf
yb19092109,Himpchmann
yb1912957,Hirschel
yb1909506,Hirschl
yb1912542,Hoffner
yb19092546,Holovka
yb19123080,Hoppa
yb1909474,Horovicz
yb19092282,Horovitz
yb19092268,Hoyer
yb19121850,Hrabe
alm190418,Hrabkovszky
alm19071098,Hrenszik
yb19092432,Hreska
yb1909577,Hrigyecz
yb1912147,Hubacsek
yb19122818,Huffgart
yb19122926,Huminik
alm1904172,Hönigsfeld
yb19123082,Ilia
yb19092223,Irczl
yb19122917,Ityun Kurja
yb19092355,Jakubik
yb19121967,Jamisch
yb19123174,Jaransch
yb19121987,Joksmann
yb19092328,Julcher
yb19092402,Jungling
alm1907870,Kadenczki
alm1904149,Kamenszár
yb1912130,Kandler
yb19122466,Kantsura
yb19121785,Karmazsin
yb19091842,Katz
yb1909766,Kesztenbaum
yb19092242,Kesztner
yb19121197,Kilmayer
yb19122679,Kirnbauer
yb19121286,Kirnig
yb19121135,Kirnlg
yb19122622,Kirschner
yb19092405,Klefaber
yb1912668,Kleinberger
yb19121872,Kleinlein
yb1909174,Kmetykó
alm1904739,Knecht
yb19092264,Knöbl
yb19092176,Kocza
yb1912598,Kogler
yb19092025,Kohn
yb19092410,Kohut
alm1904139,Kolczun
yb19091804,Kolega
yb19092315,Kolesza
yb19092553,Konecsny
yb19092126,Konstantin
yb19123182,Kovácsevits
yb19092286,Kovácsics
yb1912730,Krajtsj
yb1909459,Kralován
alm1904254,Kranz
yb1912736,Kratochvila
yb19121311,Krausz
alm1904346,Kreczinger
alm1904668,Krenácz
alm1907470,Kricsa
yb19123364,Kriger
yb19123352,Krizsán
yb19091958,Krizsánovics
yb19121312,Krkos
yb1912391,Kron
yb19121452,Kropf
yb19121897,Kruze
yb19092327,Kukucska
alm1904103,Kulfasz
yb19092429,Kuncsik
yb19122794,Kupsza
yb1909691,Kurcz
yb1912470,Kurzmann
yb19122010,Kuvanek
yb19092146,Kátus
yb19091887,Kéler
yb19123346,Lakinger
alm1907953,Langfelder
yb19091983,Ledermayer
alm1904267,Leichtberg
yb19122432,Lesák
yb1912312,Lichtenstein
alm1907632,Lobstein
yb19122367,Lojka
yb19122937,Loos
alm1907199,Losteiner
yb19121670,Lovovits
yb19121018,Ludvig
yb19121770,Luperszbek
alm1904783,Lákner
yb19121449,Lövenstein
yb19091252,Lövinger
yb19092458,Löwy
yb1909413,Mailender
yb19123180,Mantág
yb1912631,Martinek
yb1909585,Martinelli
yb19122500,Mertinger
yb1909250,Mihalovics
yb19121822,Mihlrad
yb19122453,Mikolai
yb19123313,Mikó
alm1904723,Milhoffer
yb19122486,Mocskos
yb19121076,Moskovitz
alm1904606,Mráz
yb19123094,Mura
alm1907956,Mutzbauer
yb19122883,Máder
yb19121545,Nadeniczek
yb19092560,Neamtin
yb19123277,Negru
yb19122469,Nemecz
yb1909134,Neuberger
yb1909968,Neufeld
yb19123353,Nezezon
yb19092485,Nyegró
yb1912326,Oesterreicher
yb19122358,Opic
alm19071142,Pablasek
yb19091546,Pacurar
yb19122912,Paczes
yb19122924,Palásti
yb19092490,Paukner
yb1912505,Paulus
yb1912607,Pfeffer
yb19122986,Pikuj
yb1912683,Planyitska
alm1907612,Podolják
yb1909906,Policsek
yb19092290,Policzer
yb19122337,Pollák
yb19091036,Polzberger
alm1904132,Ponus
alm1904580,Pooplavszky
alm1907637,Poppovits
alm1904442,Poqlavszky
yb19121313,Pospischil
yb19123221,Posthammel
yb19121554,Potaczek
yb19121052,Prandtner
alm19041112,Preszburger
alm1907186,Proschinger
yb1909530,Pukli
yb19092311,Radvojevics
yb19121923,Rambach
yb19121964,Reich
alm1907562,Reiser
yb19121441,Reismann
yb190992,Reissberger
alm19071091,Ressel
yb19121888,Riszner
yb19091404,Ritterbacher
yb19092422,Robák
yb1909405,Rohaska
alm190780,Roos
yb19122032,Rosenspitz
alm1904922,Rosenstein
yb19121515,Rosenzweig
yb19122442,Rosovits
yb1909257,Rozenberg
alm1904334,Rozsaági
yb19092088,Ruff
alm19071028,Rusznák
alm1907465,Ruthauer
yb19122461,Ruzsa
yb19122856,Röszler
yb19092183,Salling
alm1904490,Saltzer
yb1912357,Salzer
yb19092188,Schandel
yb19121038,Schenkengei
yb1909960,Schestauber
yb19091537,Schiessler
yb1909669,Schimp
yb1909121,Schlegel
yb1909124,Schlesinger
yb19091985,Schneider
yb19091931,Schnitzer
yb19121999,Schulmann
yb19092408,Schulteisz
yb1909341,Schumandl
yb19121163,Schusbek
yb19091975,Schuszter
yb19091956,Schvarcz
yb19092011,Schwach
alm1904452,Schwalcz
yb19092524,Schwarcz
yb1912659,Schweig
yb19121328,Schöbinder
yb190918,Schönfeld
yb1912566,Schöpkesz
yb1909973,Siegmund
yb1909662,Singer
yb19092094,Sinkler
yb1909593,Slotterbek
yb19121630,Smilovitz
yb19121939,Sommer
alm1907517,Sonnenfeld
yb19091011,Sonnleitner
alm1904598,Spaczek
alm1904130,Spanraff
yb19123361,Speier
yb1909487,Spindler
yb19121005,Spitz
yb19091229,Spitzer
yb1909635,Spitzka
yb19122905,Stampf
yb19123354,Stanczel
yb19092274,Stefanovics
yb19092058,Stefka
yb19123166,Stefán
yb19123265,Steinberger
yb19091276,Steiner
yb19122944,Sterczel
yb19123251,Stir
yb19121893,Striskovics
yb19092401,Strobak
alm1907787,Strudl
yb19123348,Strumpf
yb19123320,Stöckl
alm190436,Szallenback
yb19122447,Szanditz
yb1909411,Szenftner
yb19121976,Szili
yb1909256,Szinger
yb19122542,Szkruczany
yb19092601,Szmrekár
yb19092660,Szomleitner
yb19123063,Szommer
yb19123266,Szproszty
yb19092238,Sztakó
yb19121579,Sztiszkala
yb19092195,Szuszki
alm1907543,Tausz
yb19122688,Tischler
yb19122566,Tkatsik
yb19092338,Tkács
yb19122345,Tkátsik
yb19123232,Tometits
yb1909957,Trebitscher
yb19123268,Tringer
yb19092449,Trsztyenszky
yb19122863,Tröger
yb1909868,Tuchler
alm1904921,Tverdi
yb19122801,Ungár
yb19092562,Vacha
yb19121302,Vanyatka
yb1912350,Vara?ek
yb19121649,Vaszil
yb1909118,Veisz
yb19122495,Venninger
yb19091242,Verner
yb19121868,Viczing
yb19121905,Vild
yb19092261,Vimalovszki
alm1907573,Vince
yb19092121,Vlcsek
yb1909170,Vurumpek
yb1912706,Wachtel
yb19121669,Waldner
yb19092400,Wechermann
yb19091267,Weigand
yb19091200,Weinberger
yb19121814,Weinczierl
yb19092628,Weingarten
yb19091102,Weiszfeld
yb19091684,Wenczel
alm19041113,Wienhoffer
alm190795,Winterstein
yb1909901,Wirnhart
alm19071174,Wurfer
yb19092404,Zaletynik
alm1907324,Zeleni
yb19091927,Zinger
yb19122504,Zleszich
yb19123127,Zsidó
yb19092296,Zuzanszki
yb19091195,Zwicker
yb1909954,Zwirn
yb19092024,Zörnör
